Aplikator,Kepemilikan,Paket,Tanggal Mulai Layanan,Tanggal Berakhir Layanan,Akses No HP,Akses Username,Akses Kata Sandi,Nama Pemilik,Nama Portal,Merchant ID,Store ID,Nama Panjang Outlet,Nama Pendek Outlet,Status Utama (Vercel),Status Aktual (Shopee),Vercel Link,Vercel Kata Sandi,Senin,Selasa,Rabu,Kamis,Jumat,Sabtu,Minggu,Special Hours,Status Langganan,Penangguhan,Alasan Penangguhan,Tgl Mulai Penangguhan,Tgl Berakhir Penangguhan
ShopeeFood,VB,3 Bulan,2026-08-01,2026-11-01,85183151531,superfoodapp,Master@00@,Fando,SuperFood,11511947,21708900,"Ayam Lengkuas, Ayam Warisan by Foodnesia",Ayam Lengkuas F,On,On,,,,,,,,,,,Aktif,,,,
ShopeeFood,VB,3 Bulan,2026-08-01,2026-11-01,85182003796,wonderfoodapp,Master@00@,Fando,WonderFood,14367488,21897117,"Ayam Goreng Lengkuas, Ayam Warisan by WonderFood",Ayam Goreng Lengkuas W,On,On,,,,,,,,,,,Aktif,,,,
ShopeeFood,VB,3 Bulan,2026-08-01,2026-11-01,85182003783,lokarasaapp,Master@00@,Fando,LOKARASA,14384953,21901580,"Ayam Penyet Lengkuas, Ayam Warisan by Lokarasa",Ayam Penyet Lengkuas L,On,On,,,,,,,,,,,Aktif,,,,
ShopeeFood,VB,3 Bulan,2026-08-01,2026-11-01,85136517300,doeatapp,Master@00@,Fando,"Do Eat, Gurame Bakar",15892383,22300081,Ayam Laos Lengkuas Citraland,Ayam Laos Citra D,On,On,,,,,,,,,,,Aktif,,,,
ShopeeFood,Agency,3 Bulan,2026-04-01,2026-06-30,85136517300,doeatapp,Master@00@,Fando,"Do Eat, Gurame Bakar",15892383,22299060,Tahu Mbledos Pandanlandung,Tahu Mbledos D,Off,On,,,,,,,,,,,Kedaluwarsa,,,,
ShopeeFood,Agency,3 Bulan,2026-08-01,2026-11-01,85136517313,auto7313,Auto@7313,Yolo,SuperFood,11511947,21830870,"Warung Nasi Rawon, Foodnesia",Warung NasiRawonFoodnesia,Off,On,,,05:00-15:00,05:00-15:00,05:00-15:00,05:00-15:00,05:00-15:00,05:00-15:00,05:00-15:00,,Aktif,Ya,Menunggak tagihan 3x,2026-08-02,2026-12-31
ShopeeFood,Agency,3 Bulan,2026-08-01,2026-11-01,85136517313,auto7313,Auto@7313,Yolo,WonderFood,14367488,21897166,"Warung Lontong Sayur, WonderFood",Wrg Ltg Syr Bu Sdarwati W,Off,On,,,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,,Aktif,Ya,Menunggak tagihan 3x,2026-08-02,2026-12-31
ShopeeFood,Agency,3 Bulan,2026-08-01,2026-11-01,85136517313,auto7313,Auto@7313,Yolo,LOKARASA,14384953,21901629,"Rawon dan Lontong Sayur, Lokarasa",Wr Lontong Sudarwati L,Off,On,,,05:00-15:00,05:00-15:00,05:00-15:00,05:00-15:00,05:00-15:00,05:00-15:00,05:00-15:00,,Aktif,Ya,Menunggak tagihan 3x,2026-08-02,2026-12-31
ShopeeFood,Agency,3 Bulan,2026-08-01,2026-11-01,85136517313,auto7313,Auto@7313,Yolo,"Do Eat, Gurame Bakar",15892383,22299059,Nasi Rawon Kebonsari,Nasi Rawon D,Off,On,,,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,,Aktif,Ya,Menunggak tagihan 3x,2026-08-02,2026-12-31
ShopeeFood,Agency,3 Bulan,2026-08-01,2026-11-01,85136517313,auto7313,Auto@7313,Yolo,SuperFood,11511947,22403554,"Sate Ayam Special 1, Foodnesia",Sate Ayam Pucang F,On,On,,,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,,Aktif,,,,
ShopeeFood,Agency,3 Bulan,2026-08-01,2026-11-01,85136517313,auto7313,Auto@7313,Yolo,WonderFood,14367488,22403325,"Sate Ayam 1, WonderFood",Sate Ayam Kumis W,On,On,,,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,,Aktif,,,,
ShopeeFood,Agency,3 Bulan,2026-08-01,2026-11-01,85136517313,auto7313,Auto@7313,Yolo,LOKARASA,14384953,22403231,"Sate Ayam Mantap 1, Lokarasa",Sate Ayam Kumis L,On,On,,,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,,Aktif,,,,
ShopeeFood,Agency,3 Bulan,2026-08-01,2026-11-01,85136517313,auto7313,Auto@7313,Yolo,"Do Eat, Gurame Bakar",15892383,22403454,Sate Ayam Pucang,Sate Ayam Pucang D,On,On,,,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,,Aktif,,,,
